SMILES,BIOACT_PCHEMBL_VALUE,CMP_CHEMBL_ID
CCN(CCCCCCOc1ccc(/C=C/c2cc(OC)cc(OC)c2)cc1)Cc1ccccc1,5.44,CHEMBL3133310
CCN(CC)CCCOc1ccc(CC2NCCc3cc(OC)c(OC)cc32)cc1,4.68,CHEMBL3262655
CCCN(CCC)CCCCCCOc1ccc(CC2NCCc3cc(OC)c(OC)cc32)cc1,5.36,CHEMBL3262662
Nc1c2c(nc3c1C(c1cccc(F)c1)c1c(c4ccccc4oc1=O)O3)CCCC2,6.05,CHEMBL2425845
C#CCN(C)Cc1cc2cc(OCCN3CCC(Cc4ccccc4)CC3)ccc2n1C,6.10,CHEMBL1929423
CC(C)N1CCN(c2nccc(NCc3cccc4ccccc34)n2)CC1,5.12,CHEMBL1834060
Cc1ccc(/C=C2\CNCC3=C2NC(=S)NC3c2ccc(C)cc2)cc1,5.20,CHEMBL2385781
Clc1ccccc1CNc1ccnc(NC2CCN(Cc3ccccc3)CC2)n1,5.62,CHEMBL2047223
CCNC(=O)Oc1ccc(CC(=O)NC2CCN(Cc3ccccc3)CC2)cc1,4.97,CHEMBL1629774
CN1c2ccccc2CN2CCCC21,4.41,CHEMBL2152549
CCN(CC)CCCCCCCOc1ccc(CC2NCCc3cc(OC)c(OC)cc32)cc1,5.04,CHEMBL3262659
Cc1c(OCCCCCCN2CCCC2)ccc2c(=O)cc(-c3ccccc3)oc12,5.48,CHEMBL2392940
COc1ccc(/C=C2\COc3cc(OCCCCCCCCNc4c5c(nc6ccccc46)CCCC5)ccc3C2=O)cc1,7.03,CHEMBL3093175
O=c1ccc2cc(OCCCCCSC[C@@H]3CCCN4CCCC[C@H]34)ccc2o1,5.24,CHEMBL1782748
COc1cc2oc(C(=O)NCCCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)cc(=O)c2cc1OC,9.26,CHEMBL2021673
C=CC(=O)N1C/C(=C\c2ccc(Cl)cc2Cl)C(=O)/C(=C/c2ccc(Cl)cc2Cl)C1,4.53,CHEMBL2332546
COc1cc(CNCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1O,8.39,CHEMBL1783237
c1ccc(C/N=c2/c3ccccc3nc3n2CCC3)cc1,5.72,CHEMBL1669443
CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1,5.80,CHEMBL1201342
C(=C(c1ccccc1)c1ccccc1)[C@@H]1CCCN2CCCC[C@H]12,5.42,CHEMBL1782728
COc1ccccc1/C=C1\COc2cc(OCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccc2C1=O,7.52,CHEMBL3093167
CCOc1ccc(N(Cc2ccccc2)C(=O)/C=C/C(=O)N(Cc2ccccc2)c2ccc(OCC)cc2)cc1,4.36,CHEMBL2296117
O=C(CN1CCOCC1)Nc1ccc2nc3c4[nH]c5ccccc5c4ccn3c(=O)c2c1,4.55,CHEMBL2375944
COc1ccc(C2c3c(nc4c(c3N)CCCC4)Oc3c2c(=O)oc2ccccc32)cc1,6.08,CHEMBL2425853
Nc1c2c(nc3c1cc(-c1ccccc1)n3-c1ccccc1)CCCC2,7.13,CHEMBL1916768
c1ccc2c(c1)CCN1CCc3cc(OCCCCOc4ccc5c(c4)CCN4CCc6ccccc6C54)ccc3C21,7.77,CHEMBL1095960
CCCCN(CCCC)CCCCCCOc1ccc(CC2NCCc3cc(OC)c(OC)cc32)cc1,5.46,CHEMBL3262663
C#CCN(C)Cc1cc2cc(OCCCN3CCN(Cc4ccccc4)CC3)ccc2n1C,5.12,CHEMBL1929424
Cc1c(OCCCCCN2CCCCC2C)ccc2c(=O)cc(-c3ccccc3)oc12,5.56,CHEMBL2393056
COc1cc(O)c2c(=O)cc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)oc2c1,9.76,CHEMBL2021702
COc1cc2oc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)cc(=O)c2cc1OC,9.07,CHEMBL2021698
O=c1cc(-c2ccccc2)oc2cc(OCCCN3CCN(CCCNc4c5c(nc6ccccc46)CCCC5)CC3)cc(O)c12,6.25,CHEMBL2436703
O=C(NCCO)c1cnc2c3c(cccc13)-c1ccccc1C2=O,4.16,CHEMBL551430
Cc1ccc(-c2cc(=O)c3ccc(OCCCN4CCN(CCCNc5c6c(nc7ccccc57)CCCC6)CC4)cc3o2)cc1,6.24,CHEMBL2436705
COCCN1CCN(c2nccc(NC(c3ccccc3)c3ccccc3)n2)CC1,4.55,CHEMBL1834079
CCN(CC)Cc1ccc(OCCCCCN2CCCCC2)cc1,6.17,CHEMBL1086037
Cc1ccc(-c2cc3c(N)c4c(nc3o2)CCCC4)cc1,5.54,CHEMBL1916770
Clc1cccc(CNc2ccnc(NC3CCN(Cc4ccccc4)CC3)n2)c1,5.60,CHEMBL2047224
c1ccc2c(c1)CCN1CCc3cc(OCCCCCCCCOc4ccc5c(c4)CCN4CCc6ccccc6C54)ccc3C21,6.17,CHEMBL1099379
CCN(CC)Cc1ccc(OCCN2CCN(C)CC2)cc1,4.69,CHEMBL1084563
Cc1cc(=O)oc2cc(OCCCCN3CCN(CC(=O)Nc4c5c(nc6ccccc46)CCCC5)CC3)ccc12,6.83,CHEMBL2391488
Oc1c(CNCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)ccc2cccnc12,7.52,CHEMBL1200221
S=C1NC2=C(CNC/C2=C\c2ccc(Cl)cc2)C(c2ccc(Cl)cc2)N1,5.20,CHEMBL2385782
Cc1c(OCCCCN2CCCC2)ccc2c(=O)cc(-c3ccccc3)oc12,5.24,CHEMBL2392938
CC1CCN(c2nccc(NCc3cccc4ccccc34)n2)CC1,5.66,CHEMBL1766151
c1ccc(N(C[C@@H]2CCCN3CCCC[C@H]23)c2ccccc2)cc1,5.09,CHEMBL1782726
CC(C)NC(=O)Oc1cccc(CC(=O)NC2CCN(Cc3ccccc3)CC2)c1,4.53,CHEMBL1629780
CN(C)CCOc1cnc2c3c(cccc13)C(=O)c1ccccc1-2,5.79,CHEMBL1770204
c1ccc2oc(-c3ccc(OCCCNc4c5c(nc6ccccc46)CCCC5)cc3)nc2c1,6.45,CHEMBL2022047
CCN1CC2=C(NC(=S)NC2c2ccc(C)cc2)/C(=C/c2ccc(C)cc2)C1,5.33,CHEMBL1276588
C=CC(=O)N1C/C(=C\c2ccccc2)C(=O)C2(C1)C(c1ccccc1)C(c1ccccc1)NC21C(=O)Nc2ccccc21,4.91,CHEMBL3235937
O=C(CCOc1cccnc1)Nc1ccc2nc3c4[nH]c5ccccc5c4ccn3c(=O)c2c1,5.19,CHEMBL2375931
CC(C(=O)NCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1ccc(-c2ccccc2)c(F)c1,8.43,CHEMBL2376472
COc1ccccc1/C=C1\CNCC2=C1N=C1SC=C(c3ccc(F)cc3)N1C2c1ccccc1OC,5.06,CHEMBL3104321
O=C(CN1CCN(CCCCOc2ccc3ccc(=O)oc3c2)CC1)Nc1c2c(nc3ccccc13)CCCC2,6.51,CHEMBL2391483
CCN(CC)CCCCCCCCCCOc1ccc2c(=O)cc(-c3ccc(N(C)C)cc3)oc2c1,5.64,CHEMBL3093841
CCN(CC)CCC(=O)Nc1ccc(/C=C2\CCn3c2nc2cc(Cl)ccc2c3=O)cc1,5.19,CHEMBL2011198
c1ccc2c(c1)Oc1ccccc1N2C[C@@H]1CCCN2CCCC[C@H]12,5.66,CHEMBL1782711
O=c1c2ccccc2nc2n1CCC2Cc1ccc(OCCN2CCCCC2)cc1,5.08,CHEMBL470954
COc1ccc(C2=CSC3=NC4=C(CNC/C4=C\c4ccccc4OC)C(c4ccccc4OC)N23)cc1,4.73,CHEMBL3104333
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,5.71,CHEMBL1064
COc1ccc(-c2cc(=O)c3ccc(OCCCN4CCN(CCCNc5c6c(nc7ccccc57)CCCC6)CC4)cc3o2)cc1,6.18,CHEMBL2436706
COC(=O)N[C@H](C(=O)N[C@H](C)c1nc2ccc(F)cc2s1)C(C)C,4.49,CHEMBL2334740
CCN(CC)CC(=O)Nc1ccc2ncn(CCc3c[nH]c4ccccc34)c(=O)c2c1,4.38,CHEMBL1098309
CN(C)C(=O)Oc1cccc(CC(=O)NC2CCN(Cc3ccccc3)CC2)c1,4.66,CHEMBL1629782
COc1ccc(N(Cc2ccccc2)C(=O)/C=C/C(=O)N(Cc2ccccc2)c2ccc(OC)cc2)cc1,4.36,CHEMBL2296115
CCCOc1ccc(/C=C/C(=O)NCCCNc2c3c(nc4ccccc24)CCCC3)cc1OC,7.39,CHEMBL2171308
CN(C)c1ccc(-c2cc(=O)c3ccc(OCCCCN4CCOCC4)cc3o2)cc1,5.00,CHEMBL3093831
C=C(C)C(=O)N(CCCCN=c1c2ccccc2nc2n1CCC2)CCCN=c1c2ccccc2nc2n1CCC2,7.97,CHEMBL1669454
